	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	-ability	Suffix	tr	Forms a noun from a verb	deu	-barkeit	f
eng	-ability	Suffix	tr	Forms a noun from a verb	fra	-abilité
eng	-ability	Suffix	tr	Forms a noun from a verb	glg	-abilidade	f
eng	-ability	Suffix	tr	Forms a noun from a verb	hun	-hatóság
eng	-ability	Suffix	tr	Forms a noun from a verb	hun	-hetőség
eng	-ability	Suffix	tr	Forms a noun from a verb	hun	képesség
eng	-ability	Suffix	tr	Forms a noun from a verb	ind	-abilitas
eng	-ability	Suffix	tr	Forms a noun from a verb	ind	-itas
eng	-ability	Suffix	tr	Forms a noun from a verb	msa	keboleh--an
eng	-ability	Suffix	tr	Forms a noun from a verb	msa	keter--an
eng	-ability	Suffix	tr	Forms a noun from a verb	por	-abilidade
eng	-ability	Suffix	tr	Forms a noun from a verb	ron	-abilitate	f
eng	-ability	Suffix	tr	Forms a noun from a verb	ron	-ibilitate	f
eng	-ability	Suffix	tr	Forms a noun from a verb	spa	-abilidad
eng	-ability	Suffix	tr	Forms a noun from a verb	swe	-barhet
eng	-ability	Suffix	tr	Forms a noun from a verb	tur	-bilirlik
eng	-able	Suffix	tr	able to be done	cat	-able
eng	-able	Suffix	tr	able to be done	cat	-ible
eng	-able	Suffix	tr	able to be done	ces	-elný
eng	-able	Suffix	tr	able to be done	cmn	可	alt=可-	sc=Hani
eng	-able	Suffix	tr	able to be done	cor	-adow
eng	-able	Suffix	tr	able to be done	cym	-adwy
eng	-able	Suffix	tr	able to be done	dan	-bar
eng	-able	Suffix	tr	able to be done	deu	-abel
eng	-able	Suffix	tr	able to be done	deu	-bar
eng	-able	Suffix	tr	able to be done	fin	-tava
eng	-able	Suffix	tr	able to be done	fin	-tava	alt=-tävä
eng	-able	Suffix	tr	able to be done	fra	-able
eng	-able	Suffix	tr	able to be done	fra	-ible
eng	-able	Suffix	tr	able to be done	glg	-ábel
eng	-able	Suffix	tr	able to be done	glg	-able
eng	-able	Suffix	tr	able to be done	hin	योग्य
eng	-able	Suffix	tr	able to be done	hun	-ható
eng	-able	Suffix	tr	able to be done	hun	-hető
eng	-able	Suffix	tr	able to be done	hye	-ի
eng	-able	Suffix	tr	able to be done	ido	-ebla
eng	-able	Suffix	tr	able to be done	ina	-abile
eng	-able	Suffix	tr	able to be done	ina	-ibile
eng	-able	Suffix	tr	able to be done	ita	-abile
eng	-able	Suffix	tr	able to be done	ita	-evole
eng	-able	Suffix	tr	able to be done	ita	-ibile
eng	-able	Suffix	tr	able to be done	jpn	られる	alt=-られる	tr=-rareru
eng	-able	Suffix	tr	able to be done	kat	-ადი
eng	-able	Suffix	tr	able to be done	lat	-ābilis
eng	-able	Suffix	tr	able to be done	nds-de	-bor
eng	-able	Suffix	tr	able to be done	nld	-abel
eng	-able	Suffix	tr	able to be done	nld	-baar
eng	-able	Suffix	tr	able to be done	nor	-abel
eng	-able	Suffix	tr	able to be done	nor	-ibel
eng	-able	Suffix	tr	able to be done	osx	-bar
eng	-able	Suffix	tr	able to be done	pol	-alny
eng	-able	Suffix	tr	able to be done	pol	-elny
eng	-able	Suffix	tr	able to be done	por	-ável
eng	-able	Suffix	tr	able to be done	por	-ível
eng	-able	Suffix	tr	able to be done	ron	-abil
eng	-able	Suffix	tr	able to be done	ron	-ibil
eng	-able	Suffix	tr	able to be done	rus	-а́емый
eng	-able	Suffix	tr	able to be done	rus	-и́мый
eng	-able	Suffix	tr	able to be done	rus	-я́емый
eng	-able	Suffix	tr	able to be done	spa	-able
eng	-able	Suffix	tr	able to be done	spa	-ible
eng	-able	Suffix	tr	able to be done	swe	-abel
eng	-able	Suffix	tr	able to be done	swe	-bar
eng	-able	Suffix	tr	able to be done	tur	-bilir
eng	-able	Suffix	tr	able to be done	yue	得	alt=-得	tr=-dak1	sc=Hani
eng	-able	Suffix	tr	due to be	fin	-tava
eng	-able	Suffix	tr	due to be	fin	-tava	alt=-tävä
eng	-able	Suffix	tr	due to be	fra	-able
eng	-able	Suffix	tr	due to be	nld	te
eng	-able	Suffix	tr	due to be	swe	-värd
eng	-able	Suffix	tr	expressing capacity or worthiness in a passive sense	deu	-wert
eng	-able	Suffix	tr	expressing capacity or worthiness in a passive sense	fin	-tava
eng	-able	Suffix	tr	expressing capacity or worthiness in a passive sense	fin	-tava	alt=-tävä
eng	-able	Suffix	tr	expressing capacity or worthiness in a passive sense	swe	-värd
eng	-able	Suffix	tr	fit to be done	fin	-kelpoinen
eng	-able	Suffix	tr	fit to be done	fin	-tava
eng	-able	Suffix	tr	fit to be done	fin	-tava	alt=-tävä
eng	-able	Suffix	tr	fit to be done	glv	yn-
eng	-able	Suffix	tr	fit to be done	jpn	られる	alt=-られる	tr=-rareru
eng	-able	Suffix	tr	fit to be done	nld	-baar
eng	-able	Suffix	tr	fit to be done	por	-ável
eng	-able	Suffix	tr	fit to be done	por	-ível
eng	-able	Suffix	tr	fit to be done	swe	-abel
eng	-able	Suffix	tr	relevant or suitable to, in accordance with	fin	-kas
eng	-able	Suffix	tr	relevant or suitable to, in accordance with	fin	-kas	alt=-käs
eng	-able	Suffix	tr	relevant or suitable to, in accordance with	ron	-abil
eng	-able	Suffix	tr	relevant or suitable to, in accordance with	ron	-ibil
eng	-able	Suffix	tr	relevant or suitable to, in accordance with	swe	-abel
eng	-aceous	Suffix	tr	belonging to a taxonomic family or other group	cat	-aci
eng	-aceous	Suffix	tr	belonging to a taxonomic family or other group	por	-áceo
eng	-aceous	Suffix	tr	belonging to a taxonomic family or other group	spa	-áceo
eng	-aceous	Suffix	tr	of, relating to, or resembling the thing suffixed	cat	-aci
eng	-aceous	Suffix	tr	of, relating to, or resembling the thing suffixed	por	-áceo
eng	-aceous	Suffix	tr	of, relating to, or resembling the thing suffixed	spa	-áceo
eng	-acious	Suffix	tr	adjective-forming suffix	spa	-az
eng	-ac	Suffix	tr	one affected with	ell	-ακός
eng	-ac	Suffix	tr	one affected with	ell	-ιακός
eng	-ac	Suffix	tr	one affected with	hun	-ák
eng	-ac	Suffix	tr	one affected with	hun	-ákus
eng	-ac	Suffix	tr	one affected with	hun	-ás
eng	-ac	Suffix	tr	one affected with	por	-íaco
eng	-ac	Suffix	tr	one affected with	spa	-aca	f
eng	-ac	Suffix	tr	one affected with	spa	-aco	m
eng	-ade	Suffix	tr	forms nouns denoting action	por	-ada	f
eng	-ade	Suffix	tr	indicates drinks made from a given fruit	ell	-άδα	f
eng	-ade	Suffix	tr	indicates drinks made from a given fruit	por	-ada	f
eng	-adic	Suffix	tr	having a number of arguments	hun	-adikus
eng	-adic	Suffix	tr	having a number of arguments	ita	-adico
eng	-aemia	Suffix	tr	condition of the blood	cat	-èmia	f
eng	-aemia	Suffix	tr	condition of the blood	deu	-ämie	f
eng	-aemia	Suffix	tr	condition of the blood	fra	-émie	f
eng	-aemia	Suffix	tr	condition of the blood	ita	-emia	f
eng	-aemia	Suffix	tr	condition of the blood	por	-emia	f
eng	-aemia	Suffix	tr	condition of the blood	spa	-emia	f
eng	-age	Suffix	tr	charge, toll or fee	enm	-age
eng	-age	Suffix	tr	charge, toll or fee	por	-ágio	m
eng	-age	Suffix	tr	collection or appurtenance	fra	-age	m
eng	-age	Suffix	tr	collection or appurtenance	por	-agem	f
eng	-age	Suffix	tr	place	por	-ato	m
eng	-age	Suffix	tr	process, action or result	enm	-ing
eng	-age	Suffix	tr	process, action or result	hun	-ás, -és
eng	-age	Suffix	tr	process, action or result	por	-agem	f
eng	-age	Suffix	tr	process, action or result	por	-ção	f
eng	-age	Suffix	tr	process, action or result	por	-mento	m
eng	-age	Suffix	tr	rate	por	-agem	f
eng	-age	Suffix	tr	state or relationship	por	-agem	f
eng	-age	Suffix	tr	state or relationship	por	-ção	f
eng	-agogue	Suffix	tr	someone who leads	fra	-agogue
eng	-agogue	Suffix	tr	someone who leads	por	-agogo	m
eng	-agogue	Suffix	tr	that stimulates a flow	hun	-agóg
eng	-agogue	Suffix	tr	that stimulates a flow	hun	-agóga
eng	-aire	Suffix	tr	one whose wealth exceeds a specific number of units in the local currency	fra	-aire
eng	-algia	Suffix	tr	pain	deu	-algie	f
eng	-algia	Suffix	tr	pain	hun	-algia
eng	-algia	Suffix	tr	pain	por	-algia	f
eng	-al	Suffix	tr	aldehyde	dan	-al
eng	-al	Suffix	tr	aldehyde	glg	-al
eng	-al	Suffix	tr	aldehyde	hun	-al
eng	-al	Suffix	tr	aldehyde	nld	-al
eng	-al	Suffix	tr	aldehyde	swe	-al
eng	-amine	Suffix	tr	an amine	deu	-amin
eng	-amine	Suffix	tr	an amine	fin	amiini	alt=-amiini
eng	-amine	Suffix	tr	an amine	fra	-amine
eng	-amine	Suffix	tr	an amine	hin	-तिक्ती	sc=Deva
eng	-amine	Suffix	tr	an amine	hun	-amin
eng	-ance	Suffix	tr	a state	cat	-ança	f
eng	-ance	Suffix	tr	a state	enm	-aunce
eng	-ance	Suffix	tr	a state	enm	-ing
eng	-ance	Suffix	tr	a state	fra	-ance
eng	-ance	Suffix	tr	a state	fro	-ance
eng	-ance	Suffix	tr	a state	fur	-ance
eng	-ance	Suffix	tr	a state	hun	-alom
eng	-ance	Suffix	tr	a state	hun	-at
eng	-ance	Suffix	tr	a state	hun	-elem
eng	-ance	Suffix	tr	a state	hun	-et
eng	-ance	Suffix	tr	a state	hun	-ság
eng	-ance	Suffix	tr	a state	hun	-ség
eng	-ance	Suffix	tr	a state	ita	-anza	f
eng	-ance	Suffix	tr	a state	por	-ança	f
eng	-ance	Suffix	tr	a state	ron	-anță	f
eng	-ance	Suffix	tr	a state	spa	-ancia	f
eng	-ance	Suffix	tr	a state	spa	-anza
eng	-ance	Suffix	tr	a state	swe	-ans	c
eng	-ance	Suffix	tr	a state	vec	-ansa	f
eng	-ancy	Suffix	tr	a condition or quality	fra	-ance
eng	-ancy	Suffix	tr	a condition or quality	fra	-ancie
eng	-ancy	Suffix	tr	a condition or quality	por	-ância	f
eng	-ander	Suffix	tr	stamen	por	-andro
eng	-andry	Suffix	tr	male mate, husband	fra	-andrie	f
eng	-andry	Suffix	tr	male mate, husband	por	-andria	f
eng	-andry	Suffix	tr	male reproductive organ; stamen	fra	-andrie	f
eng	-andry	Suffix	tr	male reproductive organ; stamen	por	-andria	f
eng	-andry	Suffix	tr	man, male	fra	-andrie	f
eng	-andry	Suffix	tr	man, male	por	-andria	f
eng	-ane	Suffix	tr	alkanes	cat	-à	m
