	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	zaa	Noun	tr	letter	spa	za	f
eng	zaatar	Noun	tr	herb	ara	زَعْتَر نَابْلُسِيّ	m
eng	zaatar	Noun	tr	herb	heb	אזוב	m	tr=ezóv
eng	zaatar	Noun	tr	herb	heb	זַעְתַּר	m	tr=zá'tar
eng	zaatar	Noun	tr	herb	spa	za'atar	m
eng	zaatar	Noun	tr	herb	spa	zaatar	m
eng	zaatar	Noun	tr	herb	spa	zahatar	m
eng	zaatar	Noun	tr	herb	spa	zatar	m
eng	zaatar	Noun	tr	herb	syc	ܨܬܪܐ	m	tr=ṣāṯrā
eng	zaatar	Noun	tr	seasoning	ara	خُلْطَة زَعْتَر نَابْلُسِيّ	f
eng	zaatar	Noun	tr	seasoning	ara	زَعْتَر نَابْلُسِيّ	m
eng	zaatar	Noun	tr	seasoning	fra	zaatar	m
eng	zaatar	Noun	tr	seasoning	heb	זַעְתַּר	m	tr=zá'tar
eng	zaatar	Noun	tr	seasoning	jpn	ザータル	tr=zātaru
eng	zaatar	Noun	tr	seasoning	pol	zatar	m
eng	zaatar	Noun	tr	seasoning	rus	за́атар	m
eng	zaatar	Noun	tr	seasoning	rus	за́тар	m
eng	zaatar	Noun	tr	seasoning	spa	za'atar	m
eng	zaatar	Noun	tr	seasoning	spa	zaatar	m
eng	zaatar	Noun	tr	seasoning	spa	zahatar	m
eng	zaatar	Noun	tr	seasoning	spa	zatar	m
eng	zaatar	Noun	tr	seasoning	syc	ܨܬܪܐ	m	tr=ṣāṯrā
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	ara	سَابَايُونِي	m	tr=sabayūnī
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	cim	gaslòttarne òjar	n-p
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	cmn	萨巴里安尼	tr=sàbālǐ'ānní
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	cmn	薩巴里安尼
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	deu	Sabayon	n
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	deu	Zabaglione	f
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	deu	Zabaione	f
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	ell	ζαμπαγιόνε	n
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	epo	zabajono
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	fin	zabaglione
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	fra	sabayon	m
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	fra	zambajon	m
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	hbs	zabajȏne	m
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	hbs	забајо̑не	m
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	heb	זביונה	m	tr=zabayóne
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	hye	սաբայոն
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	ita	zabaglione	m
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	ita	zabaione	m
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	ita	zabajone	m
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	jpn	ザバイオーネ	tr=zabaiōne
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	jpn	ザバイヨーネ	tr=zabaiyōne
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	jpn	サバイヨン	tr=sabaiyon
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	jpn	ザバリョーネ	tr=zabaryōne
eng	zabaglione	Noun	tr	custard-like dessert made with egg yolks, sugar and Marsala wine	kor	지바이요네
