	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	ang	Arabisċ
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	ara	عَرَبِيّ
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	aze	ərəb
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	bak	ғәрәп
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	bel	ара́бскі
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	ben	আরবি
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	bul	ара́бски
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	cat	àrab
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	ces	arabský
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	cmn	阿拉伯	tr=ālābó
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	dan	araber-
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	dan	arabisk
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	deu	Araber-
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	deu	arabisch
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	dng	араб
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	ell	αραβικός	m
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	est	araabia
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	fas	تازی	tr=tâzi
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	fas	عرب	tr='arab
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	fin	arabialainen
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	fra	arabe
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	gla	Arabach
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	gle	Arabach
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	glv	Arabagh
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	grc	Ἀραβικός
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	hbs	àrapskī	m
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	hbs	а̀рапскӣ	m
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	heb	עֲרָבִי	m	tr=araví
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	heb	עֲרָבִית	f	tr=aravít
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	hin	अरब	m
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	hin	अरबी
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	hun	arab
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	hye	արաբական
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	ind	arabik
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	ind	bahasa Arab
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	ita	arabo
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	jpn	アラブ	alt=アラブの	tr=arabu no
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	kat	არაბული
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	kaz	араб
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	khm	អារ៉ាប់
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	kir	араб
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	kor	아랍	alt=아랍의
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	lao	ອາຣັບ
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	lao	ອາຫຼັບ
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	lav	arābisks
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	lav	arābu
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	lit	arabiškas
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	lit	rabų Respublikaa	alt=arabų
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	mar	अरबी
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	mkd	а́рапски
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	mlt	Għarbi	m
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	mri	Ārapi
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	msa	Arab
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	mya	အာရပ်
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	nap	arabbo
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	nld	Arabisch
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	nno	arabar-
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	nno	arabisk
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	nob	araber-
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	nob	arabisk
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	nor	arabisk
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	oci	arab
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	oci	arabi
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	pol	arabski
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	por	árabe
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	pus	تازي	m	tr=tāzí
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	pus	عرب	m	tr=aráb
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	pus	عربي	tr=arabí
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	ron	arab
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	rus	ара́бский
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	slk	arabský
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	slv	arabski	m
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	spa	árabe
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	sqi	arab
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	swe	arab-
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	swe	arabisk
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	tat	гарәп
eng	Arab	Adjective	tr	of or pertaining to Arabs and their nations	tgk	арабӣ
